L,x,uz
0.7222222222222222,0.5544332210998878,1.8897414803871622e-07
0.7222222222222222,0.5617283950617283,1.9146064998657873e-07
0.7222222222222222,0.569023569023569,1.939471519344277e-07
0.7222222222222222,0.5763187429854096,1.9643365388232408e-07
0.7222222222222222,0.5836139169472503,1.989201558301527e-07
0.7222222222222222,0.5909090909090909,2.0140665777817107e-07
0.7222222222222222,0.5982042648709315,2.038931597260539e-07
0.7222222222222222,0.6054994388327721,2.063796616738351e-07
0.7222222222222222,0.6127946127946128,2.0886616362190768e-07
0.7222222222222222,0.6200897867564534,2.1135266556947203e-07
0.7222222222222222,0.6273849607182941,2.1383916751735487e-07
0.7222222222222222,0.6346801346801346,2.1632566946533935e-07
0.7222222222222222,0.6419753086419753,2.1881217141338482e-07
0.7222222222222222,0.6492704826038159,2.2129867336104404e-07
0.7222222222222222,0.6565656565656566,2.23785175308832e-07
0.7222222222222222,0.6638608305274972,2.2627167725689103e-07
0.7222222222222222,0.6711560044893378,2.2875817920451637e-07
0.7222222222222222,0.6784511784511784,2.312446811523721e-07
0.7222222222222222,0.6857463524130191,2.337311831005531e-07
0.7222222222222222,0.6930415263748597,2.362176850483004e-07
0.7222222222222222,0.7003367003367003,2.387041869959935e-07
0.7222222222222222,0.7076318742985409,2.411906889439509e-07
0.7222222222222222,0.7149270482603816,2.436771908918947e-07
0.7222222222222222,0.7222222222222222,2.46163692839703e-07
0.8333333333333333,0.0,-2.2479520650446087e-21
0.8333333333333333,0.008417508417508417,3.6434186081132317e-09
0.8333333333333333,0.016835016835016835,7.286837216226463e-09
0.8333333333333333,0.025252525252525252,1.0930255824340436e-08
0.8333333333333333,0.03367003367003367,1.457367443245462e-08
0.8333333333333333,0.04208754208754209,1.8217093040567535e-08
0.8333333333333333,0.050505050505050504,2.1860511648680872e-08
0.8333333333333333,0.05892255892255892,2.5503930256793786e-08
0.8333333333333333,0.06734006734006734,2.9147348864905853e-08
0.8333333333333333,0.07575757575757576,3.279076747301453e-08
0.8333333333333333,0.08417508417508418,3.643418608112829e-08
0.8333333333333333,0.09259259259259259,4.007760468923697e-08
0.8333333333333333,0.10101010101010101,4.37210232973465e-08
0.8333333333333333,0.10942760942760943,4.736444190546619e-08
0.8333333333333333,0.11784511784511784,5.100786051356894e-08
0.8333333333333333,0.12626262626262627,5.465127912168524e-08
0.8333333333333333,0.13468013468013468,5.8294697729786296e-08
0.8333333333333333,0.14309764309764308,6.193811633789921e-08
0.8333333333333333,0.15151515151515152,6.558153494600535e-08
0.8333333333333333,0.15993265993265993,6.922495355412165e-08
0.8333333333333333,0.16835016835016836,7.286837216222779e-08
0.8333333333333333,0.17676767676767677,7.651179077032376e-08
0.8333333333333333,0.18518518518518517,8.015520937845362e-08
0.8333333333333333,0.1936026936026936,8.379862798654959e-08
0.8333333333333333,0.20202020202020202,8.744204659467267e-08
0.8333333333333333,0.21043771043771042,9.108546520276525e-08
0.8333333333333333,0.21885521885521886,9.472888381087139e-08
0.8333333333333333,0.22727272727272727,9.837230241897075e-08
0.8333333333333333,0.23569023569023567,1.0201572102707011e-07
0.8333333333333333,0.2441077441077441,1.0565913963520674e-07
0.8333333333333333,0.25252525252525254,1.0930255824330272e-07
0.8333333333333333,0.2609427609427609,1.1294597685138175e-07
0.8333333333333333,0.26936026936026936,1.1658939545950822e-07
0.8333333333333333,0.2777777777777778,1.2023281406758386e-07
0.8333333333333333,0.28619528619528617,1.2387623267569678e-07
0.8333333333333333,0.2946127946127946,1.2751965128378936e-07
0.8333333333333333,0.30303030303030304,1.3116306989192938e-07
0.8333333333333333,0.3114478114478114,1.3480648849999825e-07
0.8333333333333333,0.31986531986531985,1.384499071081315e-07
0.8333333333333333,0.3282828282828283,1.420933257162444e-07
0.8333333333333333,0.3367003367003367,1.4573674432427262e-07
0.8333333333333333,0.3451178451178451,1.4938016293237875e-07
0.8333333333333333,0.35353535353535354,1.5302358154047811e-07
0.8333333333333333,0.36195286195286197,1.566670001486012e-07
0.8333333333333333,0.37037037037037035,1.6031041875671072e-07
0.8333333333333333,0.3787878787878788,1.6395383736487107e-07
0.8333333333333333,0.3872053872053872,1.6759725597297043e-07
0.8333333333333333,0.3956228956228956,1.7124067458106301e-07
0.8333333333333333,0.40404040404040403,1.7488409318919626e-07
0.8333333333333333,0.41245791245791247,1.7852751179720075e-07
0.8333333333333333,0.42087542087542085,1.8217093040534077e-07
0.8333333333333333,0.4292929292929293,1.8581434901331138e-07
0.8333333333333333,0.4377104377104377,1.8945776762154627e-07
0.8333333333333333,0.4461279461279461,1.931011862296863e-07
0.8333333333333333,0.45454545454545453,1.9674460483766368e-07
0.8333333333333333,0.46296296296296297,2.0038802344583758e-07
0.8333333333333333,0.47138047138047134,2.0403144205396404e-07
0.8333333333333333,0.4797979797979798,2.0767486066204985e-07
0.8333333333333333,0.4882154882154882,2.1131827927017632e-07
0.8333333333333333,0.49663299663299665,2.1496169787819437e-07
0.8333333333333333,0.5050505050505051,2.1860511648632083e-07
0.8333333333333333,0.5134680134680134,2.2224853509431855e-07
0.8333333333333333,0.5218855218855218,2.2589195370258732e-07
0.8333333333333333,0.5303030303030303,2.2953537231058503e-07
0.8333333333333333,0.5387205387205387,2.3317879091870473e-07
0.8333333333333333,0.5471380471380471,2.3682220952664823e-07
0.8333333333333333,0.5555555555555556,2.404656281348831e-07
0.8333333333333333,0.563973063973064,2.441090467430028e-07
0.8333333333333333,0.5723905723905723,2.477524653510412e-07
0.8333333333333333,0.5808080808080808,2.51395883959005e-07
0.8333333333333333,0.5892255892255892,2.550393025671044e-07
0.8333333333333333,0.5976430976430976,2.58682721175136e-07
0.8333333333333333,0.6060606060606061,2.62326139783337e-07
0.8333333333333333,0.6144781144781145,2.6596955839126694e-07
0.8333333333333333,0.6228956228956228,2.6961297699961025e-07
0.8333333333333333,0.6313131313131313,2.7325639560783836e-07
0.8333333333333333,0.6397306397306397,2.76899814215687e-07
0.8333333333333333,0.6481481481481481,2.8054323282409807e-07
0.8333333333333333,0.6565656565656566,2.8418665143167566e-07
0.8333333333333333,0.664983164983165,2.878300700402426e-07
0.8333333333333333,0.6734006734006734,2.914734886480167e-07
0.8333333333333333,0.6818181818181818,2.951169072561567e-07
0.8333333333333333,0.6902356902356902,2.987603258644187e-07
0.8333333333333333,0.6986531986531986,3.024037444723622e-07
0.8333333333333333,0.7070707070707071,3.060471630804548e-07
0.8333333333333333,0.7154882154882155,3.0969058168840507e-07
0.8333333333333333,0.7239057239057239,3.133340002969652e-07
0.8333333333333333,0.7323232323232323,3.1697741890479353e-07
0.8333333333333333,0.7407407407407407,3.206208375130962e-07
0.8333333333333333,0.7491582491582491,3.24264256120667e-07
0.8333333333333333,0.7575757575757576,3.279076747291187e-07
0.8333333333333333,0.765993265993266,3.315510933368657e-07
0.8333333333333333,0.7744107744107744,3.35194511945209e-07
0.8333333333333333,0.7828282828282828,3.3883793055322707e-07
0.8333333333333333,0.7912457912457912,3.424813491615297e-07
0.8333333333333333,0.7996632996632996,3.461247677695342e-07
0.8333333333333333,0.8080808080808081,3.4976818637749805e-07
0.8333333333333333,0.8164983164983165,3.5341160498538057e-07
0.8333333333333333,0.8249158249158249,3.5705502359413045e-07
0.8333333333333333,0.8333333333333333,3.6069844220182324e-07
0.9444444444444444,0.0,-2.9665795883551524e-21
0.9444444444444444,0.009539842873176206,5.085985010854775e-09
0.9444444444444444,0.019079685746352413,1.0171970021710821e-08
0.9444444444444444,0.02861952861952862,1.5257955032566867e-08
0.9444444444444444,0.038159371492704826,2.0343940043420796e-08
0.9444444444444444,0.04769921436588103,2.5429925054275148e-08
0.9444444444444444,0.05723905723905724,3.051591006512865e-08
0.9444444444444444,0.06677890011223345,3.56018950759847e-08
0.9444444444444444,0.07631874298540965,4.06878800868382e-08
0.9444444444444444,0.08585858585858586,4.5773865097690014e-08
0.9444444444444444,0.09539842873176206,5.085985010854521e-08
0.9444444444444444,0.10493827160493827,5.594583511939194e-08
0.9444444444444444,0.11447811447811448,6.103182013023698e-08
0.9444444444444444,0.12401795735129069,6.611780514109048e-08
0.9444444444444444,0.1335578002244669,7.120379015194568e-08
0.9444444444444444,0.14309764309764308,7.628977516279071e-08
0.9444444444444444,0.1526374859708193,8.137576017365269e-08
0.9444444444444444,0.16217732884399552,8.646174518448925e-08
0.9444444444444444,0.1717171717171717,9.154773019534276e-08
0.9444444444444444,0.18125701459034793,9.663371520618271e-08
0.9444444444444444,0.19079685746352412,1.0171970021703283e-07
0.9444444444444444,0.20033670033670034,1.0680568522788294e-07
0.9444444444444444,0.20987654320987653,1.118916702387229e-07
0.9444444444444444,0.21941638608305275,1.1697765524954591e-07
0.9444444444444444,0.22895622895622897,1.220636402604333e-07
0.9444444444444444,0.23849607182940516,1.2714962527128002e-07
0.9444444444444444,0.24803591470258138,1.3223561028207932e-07
0.9444444444444444,0.25757575757575757,1.373215952929667e-07
0.9444444444444444,0.2671156004489338,1.424075803037931e-07
0.9444444444444444,0.27665544332211,1.4749356531462967e-07
0.9444444444444444,0.28619528619528617,1.5257955032546623e-07
0.9444444444444444,0.2957351290684624,1.576655353363333e-07
0.9444444444444444,0.3052749719416386,1.6275152034716985e-07
0.9444444444444444,0.3148148148148148,1.678375053579861e-07
0.9444444444444444,0.32435465768799104,1.7292349036888364e-07
0.9444444444444444,0.3338945005611672,1.7800947537971343e-07
0.9444444444444444,0.3434343434343434,1.8309546039050256e-07
0.9444444444444444,0.35297418630751964,1.881814454013188e-07
0.9444444444444444,0.36251402918069586,1.9326743041216213e-07
0.9444444444444444,0.372053872053872,1.9835341542301903e-07
0.9444444444444444,0.38159371492704824,2.0343940043393013e-07
0.9444444444444444,0.39113355780022446,2.085253854445973e-07
0.9444444444444444,0.4006734006734007,2.1361137045552872e-07
0.9444444444444444,0.4102132435465769,2.1869735546628397e-07
0.9444444444444444,0.41975308641975306,2.2378334047724928e-07
0.9444444444444444,0.4292929292929293,2.2886932548811973e-07
0.9444444444444444,0.4388327721661055,2.339553104988072e-07
0.9444444444444444,0.4483726150392817,2.39041295509698e-07
0.9444444444444444,0.45791245791245794,2.4412728052058876e-07
0.9444444444444444,0.4674523007856341,2.4921326553133723e-07
0.9444444444444444,0.4769921436588103,2.542992505422619e-07
0.9444444444444444,0.48653198653198654,2.5938523555312556e-07
0.9444444444444444,0.49607182940516276,2.644712205639147e-07
0.9444444444444444,0.5056116722783389,2.695572055747445e-07
